UF,PR
Cidade,CATANDUVAS
Nome Posto,TORRA ALTA
Latitude,-25.216666666666665
Longitude,-53.05
Codigo,2553041
Qtd. Anos,41
Ano,Maxima
1976,91.6
1977,77.6
1978,63
1979,90.4
1980,105.1
1981,150.1
1982,149.5
1983,112.6
1984,155.3
1985,54
1986,85.8
1987,98.3
1988,59.7
1989,70
1990,153.9
1991,75.5
1992,175.5
1993,115.6
1994,151.8
1995,76.6
1996,122.8
1997,134.2
1998,93.9
1999,73.5
2000,84.1
2001,95.6
2002,92.4
2003,91.8
2004,140.1
2005,125.8
2006,58.3
2007,163.3
2008,77.6
2009,90.4
2010,82.3
2011,97.8
2012,108
2013,92.5
2014,225.7
2015,95.7
2017,80.6
