UF,PR
Cidade,IVATE
Nome Posto,VENDA DO PAULO
Latitude,-23.333055555555557
Longitude,-53.416666666666664
Codigo,2353032
Qtd. Anos,36
Ano,Maxima
1976,99.6
1977,69
1978,61.3
1979,78.6
1980,98.8
1981,101.2
1982,67.4
1983,64.4
1984,71
1985,45.6
1986,84.4
1987,77.2
1988,85.2
1989,83.8
1990,75.4
1991,72.2
1992,74.4
1993,76.7
1994,59.4
1995,129.9
1996,77.5
1997,94.5
1998,65.1
1999,100.4
2000,118.4
2001,97.6
2002,95.7
2003,57.2
2004,93.5
2005,69.3
2006,101
2007,71.6
2008,103.2
2009,105.2
2010,96.5
2011,61.3
