UF,PR
Cidade,GUAIRACA
Nome Posto,FAZENDA NOVO MATAO
Latitude,-22.95
Longitude,-52.8
Codigo,2252025
Qtd. Anos,42
Ano,Maxima
1975,82
1976,70.4
1977,90
1978,74.4
1979,82
1980,151.5
1981,79
1982,91
1983,73
1984,144
1985,57
1986,91
1987,60.3
1988,105
1989,63
1990,55
1991,64
1992,126
1993,140
1994,100
1995,133.2
1996,63.3
1997,89.4
1998,71.6
1999,89.1
2000,104.7
2001,85
2002,101.8
2003,74
2004,81
2005,95.3
2006,89.5
2007,88.2
2008,74.8
2009,143.1
2010,147.4
2011,74.3
2012,158
2013,1555.4
2014,108.4
2015,90.2
2016,1555.4
