UF,PR
Cidade,LONDRINA
Nome Posto,FABRICA DE PAPELAO (SERRARIA)
Latitude,-23.75
Longitude,-51.026666666666664
Codigo,2351040
Qtd. Anos,39
Ano,Maxima
1975,65.6
1976,73
1977,98.7
1978,93
1979,70.3
1980,66
1981,91.6
1982,68.8
1983,65.4
1984,73.6
1985,91
1986,72.8
1987,66.8
1988,68
1989,134.4
1990,126.6
1991,90
1992,79.5
1993,94
1994,74.3
1995,75.9
1996,76.4
1997,139.6
1998,128.7
1999,133.1
2000,69.6
2001,63.7
2002,77.1
2003,65.7
2004,92.6
2005,78
2006,121.1
2007,109.2
2008,86
2009,53.7
2010,42
2011,87.8
2012,67.3
2013,65
