UF,PR
Cidade,IMBITUVA
Nome Posto,APIABA
Latitude,-25.333333333333332
Longitude,-50.766666666666666
Codigo,2550043
Qtd. Anos,42
Ano,Maxima
1975,56.8
1976,80.3
1977,59.6
1978,83
1979,78.8
1980,99.2
1981,79.4
1982,86.4
1983,125.3
1984,91.3
1985,76.6
1986,91.3
1987,94.6
1988,93.5
1989,65.5
1990,68.4
1991,115.9
1992,134.9
1993,103.3
1994,70.6
1995,84.7
1996,80.6
1997,68.5
1998,70.7
1999,69.7
2000,81.4
2001,71.6
2002,78.8
2003,103.6
2004,85.4
2005,66.4
2006,48.1
2007,94.5
2008,76.9
2009,116.6
2010,106
2011,106.5
2012,69.5
2013,150.2
2014,100
2015,81
2017,91.1
