UF,PR
Cidade,MORRETES
Nome Posto,MORRETES (EST.EXP.FRUTAS TROP)
Latitude,-25.5
Longitude,-48.81666666666667
Codigo,2548038
Qtd. Anos,50
Ano,Maxima
1966,89
1967,61.3
1968,73.8
1969,83.2
1970,99.2
1971,94.6
1972,77.5
1973,81.8
1974,135
1975,68.2
1976,68
1977,119.4
1978,94.2
1979,65.5
1980,73.8
1981,92.2
1982,107.7
1983,112
1984,63.4
1985,54.3
1986,104.2
1987,101.6
1988,78.8
1989,88.2
1990,63.6
1991,69
1992,101
1993,101.2
1994,72
1995,112.7
1996,88.2
1997,65.2
1998,82.2
1999,103.6
2000,56
2001,93.2
2002,91.2
2003,83.4
2004,220
2005,59.2
2006,70.6
2007,86.2
2008,101
2009,75
2010,104.7
2011,282.6
2012,126
2013,157
2014,103.9
2015,89
