UF,PR
Cidade,PRUDENTOPOLIS
Nome Posto,RELOGIO
Latitude,-25.283333333333335
Longitude,-51.1
Codigo,2551039
Qtd. Anos,42
Ano,Maxima
1975,46.4
1976,104.9
1977,58.1
1978,145
1979,68
1980,102.4
1981,66.7
1982,93.8
1983,127
1984,87.6
1985,73.8
1986,77
1987,113.8
1988,65.2
1989,71.6
1990,79.6
1991,67.6
1992,105
1993,71.5
1994,120.2
1995,137
1996,139.4
1997,88.3
1998,99.5
1999,67.7
2000,72.2
2001,78.2
2002,93
2003,76.7
2004,102.3
2005,80.3
2006,88.9
2007,93.6
2008,90.8
2009,68.3
2010,77.5
2011,118.1
2012,82.2
2013,103.6
2014,157.1
2015,91.7
2017,97.6
