UF,PR
Cidade,FLOR DA SERRA DO SUL
Nome Posto,RIO VERDE
Latitude,-26.233333333333334
Longitude,-53.2
Codigo,2653019
Qtd. Anos,41
Ano,Maxima
1976,92.1
1977,67.8
1978,90.6
1979,135.4
1980,70
1981,118
1982,105
1983,181.2
1984,120.8
1985,74.6
1986,97.6
1987,174.4
1988,97.4
1989,97.4
1990,128.6
1991,87.6
1992,117.1
1993,63.4
1994,150.7
1995,78.6
1996,102.5
1997,136.2
1998,176.2
1999,80.7
2000,86
2001,143
2002,82.5
2003,110.4
2004,82.4
2005,115.3
2006,113.9
2007,101.5
2008,110.6
2009,85.1
2010,130.2
2011,89.5
2012,128.2
2013,125
2014,157.1
2015,102
2017,84.8
