UF,PR
Cidade,SAO JORGE D'OESTE
Nome Posto,COPACABANA DO NORTE
Latitude,-23.530833333333334
Longitude,-52.380833333333335
Codigo,2352053
Qtd. Anos,41
Ano,Maxima
1976,86
1977,81
1978,60
1979,78.4
1980,92
1981,105.6
1982,62.2
1983,75.2
1984,78
1985,71.2
1986,68.6
1987,80.6
1988,62
1989,79
1990,79
1991,98.3
1992,81.7
1993,70.4
1994,82.1
1995,61.2
1996,53.6
1997,105.8
1998,83.5
1999,101.5
2000,71.4
2001,60.3
2002,84.3
2003,67.7
2004,74
2005,57.9
2006,132.6
2007,111.2
2008,66.9
2009,80
2010,92.8
2011,80.7
2012,135.5
2013,84.9
2014,139
2015,155.6
2017,98.1
