UF,PR
Cidade,ASTORGA
Nome Posto,ASTORGA
Latitude,-23.237222222222222
Longitude,-51.66138888888889
Codigo,2351051
Qtd. Anos,41
Ano,Maxima
1976,101
1977,107
1978,107.4
1979,85.8
1980,111
1981,92.4
1982,93
1983,94.6
1984,75
1985,55.4
1986,82.4
1987,129.2
1988,59.4
1989,80.3
1990,89.1
1991,102.5
1992,82.4
1993,123.7
1994,65.2
1995,83.8
1996,79.6
1997,79.6
1998,144.3
1999,127.6
2000,76.6
2001,82.5
2002,77.7
2003,70
2004,80.2
2005,120.5
2006,107.4
2007,116.9
2008,59.6
2009,104.6
2010,91.4
2011,105
2012,168
2013,89.2
2014,76.4
2015,105.3
2017,82.2
