UF,PR
Cidade,CASTRO
Nome Posto,TABOR (FAZENDA MARAO)
Latitude,-24.633055555555558
Longitude,-49.683055555555555
Codigo,2449030
Qtd. Anos,43
Ano,Maxima
1975,55.2
1976,50
1977,79.6
1978,57.3
1979,43
1980,77
1981,46.8
1982,72.8
1983,170.8
1984,58.8
1985,48.8
1986,57.4
1987,70
1988,78
1989,53
1990,35
1991,70
1992,90
1993,69.9
1994,51.3
1995,45
1996,72
1997,146.7
1998,72
1999,100
2000,84
2001,96
2002,81.5
2003,70
2004,76.7
2005,128.4
2006,79
2007,70.1
2008,70.3
2009,82
2010,58.7
2011,90
2012,75.9
2013,81.9
2014,95.7
2015,87.5
2016,74.2
2017,85.7
