UF,PR
Cidade,CONGONHINHAS
Nome Posto,SANTA MARIA DO RIO DO PEIXE
Latitude,-23.633888888888887
Longitude,-50.474444444444444
Codigo,2350048
Qtd. Anos,42
Ano,Maxima
1975,57
1976,50
1977,69
1978,82
1979,50
1980,55
1981,91.3
1982,50
1983,91
1984,70
1985,95.8
1986,65.4
1987,201.4
1988,65.6
1989,80
1990,107.4
1991,108
1992,87.3
1993,85.3
1994,85.2
1995,81
1996,66.8
1997,122.4
1998,147.4
1999,115.4
2000,70.2
2001,41.3
2002,106.7
2003,65
2004,190.5
2005,119.4
2006,63.9
2007,110.6
2008,110.5
2009,92.6
2010,64.2
2011,79.6
2012,163
2013,55.5
2014,75.2
2015,83.3
2017,114.3
