UF,PR
Cidade,SAO JOSE DOS PINHAIS
Nome Posto,ILHA DO RIO CLARO
Latitude,-25.81277777777778
Longitude,-48.92361111111111
Codigo,2548052
Qtd. Anos,45
Ano,Maxima
1974,71
1975,62.4
1976,107.9
1977,119
1978,92.3
1979,89.8
1980,92.7
1981,246.8
1982,99.2
1983,70
1984,68.6
1985,53.6
1986,169.6
1987,116.8
1988,65.8
1989,128.2
1990,80.5
1991,85.8
1992,121.4
1993,94
1994,66.8
1995,138
1996,75.5
1997,93.2
1998,83.9
1999,100.4
2000,70
2001,107.3
2002,75.1
2003,94.1
2004,146.4
2005,109.1
2006,96
2007,73.3
2008,121
2009,82
2010,97.9
2011,188.3
2012,88.3
2013,94
2014,62.7
2015,178.4
2016,78.2
2017,117
2018,50.5
