UF,PR
Cidade,PRUDENTOPOLIS
Nome Posto,JACIABA
Latitude,-24.833055555555557
Longitude,-51.283055555555556
Codigo,2451034
Qtd. Anos,42
Ano,Maxima
1975,53
1976,101
1977,59.2
1978,96.6
1979,75.4
1980,64.7
1981,67.2
1982,77
1983,108.9
1984,88.6
1985,87.6
1986,75.9
1987,86.9
1988,106
1989,99.6
1990,85.6
1991,76.7
1992,94.7
1993,125.3
1994,80.9
1995,69.5
1996,54
1997,103
1998,83.9
1999,71.7
2000,74.7
2001,76.3
2002,101.8
2003,86.9
2004,82.9
2005,69.5
2006,93.4
2007,119.6
2008,123.9
2009,107.9
2010,54.7
2011,153.7
2012,87.9
2013,134.3
2014,93.3
2015,95.4
2017,157.5
