UF,PR
Cidade,GRANDES RIOS
Nome Posto,PORTO ESPANHOL
Latitude,-24.344444444444445
Longitude,-51.42388888888889
Codigo,2451017
Qtd. Anos,53
Ano,Maxima
1965,139
1966,64.4
1967,75.2
1968,92.4
1969,90.4
1970,75.4
1971,59.4
1972,75.4
1973,75.5
1974,100
1975,84.9
1976,84.8
1977,65.6
1978,110
1979,93.8
1980,64.3
1981,88.7
1982,88
1983,90.8
1984,80.2
1985,52.7
1986,89.7
1987,61.7
1988,69.8
1989,93.7
1990,77.5
1991,52.7
1992,88.5
1993,59.8
1994,189.7
1995,111
1996,112.9
1997,81.6
1998,114.2
1999,55
2000,76.3
2001,50
2002,97
2003,147
2004,93.7
2005,104
2006,100
2007,83.7
2008,68.5
2009,80.7
2010,53.4
2011,67
2012,133.2
2013,118.5
2014,169.8
2015,95.7
2016,79.2
2017,94.3
