UF,PR
Cidade,SAO JORGE D'OESTE
Nome Posto,SAO JORGE DO IVAI
Latitude,-23.416666666666668
Longitude,-52.3
Codigo,2352063
Qtd. Anos,37
Ano,Maxima
1980,76.4
1981,131
1982,90.4
1983,70.8
1984,70
1985,80.6
1986,79.8
1987,143
1988,83.4
1989,116
1990,85
1991,443.8
1992,63.6
1993,74
1994,76.6
1995,63.2
1996,65.7
1997,157
1998,90
1999,128
2000,107.9
2001,73.8
2002,105.8
2003,81.9
2004,87.3
2005,78
2006,130.1
2007,80.7
2008,71.2
2009,114
2010,158
2011,47.3
2012,151
2013,82.3
2014,151.5
2015,150.2
2017,1999.8
