UF,PR
Cidade,GUAIRA
Nome Posto,RANCHO ALEGRE
Latitude,-24.316666666666666
Longitude,-54.21666666666667
Codigo,2454016
Qtd. Anos,42
Ano,Maxima
1975,92.1
1976,80.1
1977,82
1978,61.8
1979,133.2
1980,91.2
1981,83.2
1982,119
1983,161.6
1984,92.2
1985,68.4
1986,77
1987,118
1988,76.2
1989,75
1990,87.6
1991,186.6
1992,138.5
1993,131.4
1994,45.9
1995,87.7
1996,76
1997,112.7
1998,98.5
1999,121.9
2000,92.1
2001,95.4
2002,106.8
2003,137.3
2004,84.6
2005,93.9
2006,78.7
2007,84.6
2008,84.2
2009,97.9
2010,83.6
2011,91.7
2012,128.5
2013,81.6
2014,79.1
2015,133.9
2017,65
