UF,PR
Cidade,SANTO ANTONIO DO PARAISO
Nome Posto,SANTO ANTONIO DO PARAISO
Latitude,-23.5
Longitude,-50.65
Codigo,2350006
Qtd. Anos,43
Ano,Maxima
1975,60.5
1976,58.3
1977,65.1
1978,74.8
1979,76
1980,103.6
1981,80
1982,78.3
1983,68.2
1984,67.2
1985,86.8
1986,51.6
1987,89.8
1988,74
1989,130.4
1990,94.2
1991,105.2
1992,65
1993,95.9
1994,81
1995,85
1996,79.1
1997,77.8
1998,95.9
1999,91
2000,55
2001,109.6
2002,99.4
2003,86.6
2004,78.5
2005,83.9
2006,62
2007,86.6
2008,67.8
2009,88.4
2010,45.2
2011,78.1
2012,119.8
2013,76.8
2014,75.3
2015,124.7
2016,102.3
2017,63.6
