UF,PR
Cidade,IGUATU
Nome Posto,SALTO SAPUCAI
Latitude,-24.633333333333333
Longitude,-53.1
Codigo,2453013
Qtd. Anos,53
Ano,Maxima
1964,71.2
1965,103.4
1966,100
1967,80
1968,86
1969,102
1970,103.8
1971,89
1972,85
1973,124.2
1974,88.6
1975,74
1976,119
1977,64.4
1978,57.6
1979,85.6
1980,105.8
1981,112.8
1982,90.6
1983,115
1984,94
1985,73
1986,82.1
1987,101.8
1988,195
1989,98.8
1990,122.2
1991,79.6
1992,72.3
1993,140.4
1994,66.1
1995,62.6
1996,67.4
1997,93.1
1998,255.9
1999,79.2
2000,118.7
2001,54.9
2002,81.9
2003,62.1
2004,82.7
2005,70
2006,89.4
2007,117.4
2008,93.9
2009,161.3
2010,122.5
2011,127
2012,108.6
2013,110.4
2014,90
2015,114.7
2017,84.4
