UF,PR
Cidade,MARINGA
Nome Posto,GUAIAPO
Latitude,-23.4
Longitude,-51.87388888888889
Codigo,2351045
Qtd. Anos,41
Ano,Maxima
1976,65.4
1977,64.1
1978,95.4
1979,77.2
1980,81
1981,82.2
1982,71.4
1983,70.4
1984,113.4
1985,110.2
1986,68.6
1987,85
1988,104.8
1989,59.2
1990,96
1991,83.8
1992,93.7
1993,78.7
1994,68.9
1995,79.5
1996,70.3
1997,151.9
1998,78.4
1999,105.6
2000,67.3
2001,44.8
2002,73.4
2003,65
2004,73.1
2005,69.4
2006,107.9
2007,87.2
2008,83.9
2009,98.9
2010,83.6
2011,60
2012,130.9
2013,108.7
2014,62.4
2015,129.8
2017,71.5
