UF,PR
Cidade,LONDRINA
Nome Posto,VOLTA GRANDE
Latitude,-23.477777777777778
Longitude,-50.93694444444444
Codigo,2350035
Qtd. Anos,37
Ano,Maxima
1975,50.2
1976,42
1977,108
1978,75
1979,79
1980,78
1981,71.2
1982,73.1
1983,62
1984,72.2
1985,70.2
1986,80
1987,96.4
1988,77.2
1989,194.6
1990,51.2
1991,124.8
1992,138.4
1993,96.5
1994,89.6
1995,58.1
1996,71.5
1997,137.2
1998,71.5
1999,71.9
2000,69.6
2001,81.6
2002,91.7
2003,83
2004,100.5
2005,88.8
2006,83.7
2007,150.2
2008,73.9
2009,98.7
2010,92.7
2011,51.2
