UF,PR
Cidade,INACIO MARTINS
Nome Posto,CAMPINA BONITA
Latitude,-25.566666666666666
Longitude,-51.25
Codigo,2551026
Qtd. Anos,42
Ano,Maxima
1975,54.2
1976,95
1977,72.4
1978,75.3
1979,77.4
1980,131
1981,102.3
1982,83.8
1983,123.4
1984,106.6
1985,66.8
1986,71.5
1987,131
1988,95.4
1989,112.8
1990,61.6
1991,65.1
1992,179.7
1993,87
1994,70.1
1995,134.4
1996,79.4
1997,98.2
1998,107
1999,156.6
2000,96
2001,92.9
2002,90.4
2003,85.9
2004,87.9
2005,96.2
2006,44.4
2007,83.4
2008,92.9
2009,76.4
2010,87
2011,117.8
2012,98.3
2013,125.5
2014,243.8
2015,70.9
2017,124.5
