UF,PR
Cidade,MARILUZ
Nome Posto,BALSA DO GOIO - ERE
Latitude,-23.916666666666668
Longitude,-53.13305555555556
Codigo,2353002
Qtd. Anos,55
Ano,Maxima
1962,99
1963,131.4
1964,69
1965,93.8
1966,50
1967,82
1968,55
1969,142
1970,146
1971,83
1972,119.2
1973,91
1974,87
1975,78
1976,86.3
1977,90.4
1978,92
1979,86.2
1980,100
1981,98.4
1982,146
1983,111
1984,59
1985,77.5
1986,82.7
1987,92.3
1988,81.6
1989,74.4
1990,85.5
1991,94.3
1992,72.5
1993,94.2
1994,88.7
1995,77
1996,98.7
1997,87.8
1998,126.8
1999,89.9
2000,169.6
2001,80
2002,107.4
2003,125.7
2004,83.6
2005,68.6
2006,115.8
2007,87.9
2008,83.1
2009,123.8
2010,110
2011,72.8
2012,59
2013,72.3
2014,177.1
2015,176.3
2017,69.4
