UF,PR
Cidade,FRANCISCO BELTRAO
Nome Posto,LINHA GAUCHA
Latitude,-26.083333333333332
Longitude,-53.2
Codigo,2653015
Qtd. Anos,40
Ano,Maxima
1976,240.2
1977,79.4
1978,82
1979,158
1980,122
1981,94.2
1982,144.8
1983,144.8
1984,110.2
1985,57
1986,101
1987,144
1988,93.4
1989,80.4
1990,112.1
1991,154
1992,132.8
1993,99.4
1994,119.6
1995,90.4
1996,122.4
1997,185.2
1998,157.5
1999,66.6
2000,72.5
2001,73.7
2002,87.1
2003,96.9
2004,99.8
2005,106.5
2006,83.5
2007,124.7
2008,102.6
2009,102.8
2010,202.7
2011,65.3
2012,115.4
2013,115.8
2014,167
2015,91.3
