UF,PR
Cidade,NOVA AURORA
Nome Posto,PALMITOPOLIS
Latitude,-24.573055555555555
Longitude,-53.38
Codigo,2453037
Qtd. Anos,42
Ano,Maxima
1975,73
1976,90
1977,100
1978,57.2
1979,103
1980,71.8
1981,108.8
1982,71.4
1983,167.2
1984,70.4
1985,52.4
1986,115.2
1987,138.4
1988,80
1989,86.8
1990,102.2
1991,91.6
1992,138.4
1993,87.1
1994,107
1995,97.2
1996,84.2
1997,123.7
1998,98.8
1999,90.6
2000,118.5
2001,93.1
2002,89.1
2003,100.3
2004,94.4
2005,70.3
2006,105.4
2007,107.5
2008,73.2
2009,138
2010,98.3
2011,98.8
2012,111.1
2013,81.3
2014,98.6
2015,73.5
2017,79.1
