UF,PR
Cidade,NOVA FATIMA
Nome Posto,DOUTOR CLOVIS
Latitude,-23.35
Longitude,-50.63305555555556
Codigo,2350021
Qtd. Anos,42
Ano,Maxima
1975,102
1976,86
1977,99.5
1978,77.2
1979,96.3
1980,107
1981,165.4
1982,146.4
1983,111
1984,67
1985,44
1986,115.3
1987,112
1988,77
1989,147
1990,71
1991,156.3
1992,89.2
1993,93
1994,88.7
1995,92.3
1996,90.7
1997,134.4
1998,86.9
1999,66.4
2000,71.1
2001,79.3
2002,94.4
2003,107.5
2004,75.8
2005,80
2006,63.2
2007,88.4
2008,64.5
2009,113.7
2010,44
2011,72.2
2012,190.7
2013,73.6
2014,78.7
2015,121.7
2017,62.8
