UF,PR
Cidade,SANTO ANTONIO DO CAIUA
Nome Posto,SANTO ANTONIO DO CAIUA
Latitude,-22.733055555555556
Longitude,-52.35
Codigo,2252024
Qtd. Anos,44
Ano,Maxima
1975,63
1976,96
1977,93.2
1978,83.4
1979,66.8
1980,107.8
1981,75
1982,107.8
1983,78.9
1984,99
1985,52.4
1986,90.2
1987,115.3
1988,58.9
1989,85.4
1990,74.7
1991,74.1
1992,80.8
1993,105.3
1994,67.3
1995,137.4
1996,88.3
1997,78.2
1998,103
1999,75.3
2000,160.8
2001,77.6
2002,62.1
2003,52.7
2004,110.2
2005,62.2
2006,163.2
2007,148
2008,105
2009,93
2010,122.5
2011,80
2012,137.2
2013,135.1
2014,85.1
2015,124.8
2016,78.4
2017,50.3
2018,86.5
