UF,PR
Cidade,TIBAGI
Nome Posto,TIBAJI
Latitude,-24.510833333333334
Longitude,-50.4
Codigo,2450002
Qtd. Anos,80
Ano,Maxima
1938,48
1939,77
1940,64
1941,75
1942,62.2
1943,64
1944,70
1945,56
1946,78
1947,92.4
1948,83
1949,68
1950,49.4
1951,100
1952,57.4
1953,70.4
1954,98.2
1955,80.6
1956,72.8
1957,62.2
1958,42
1959,70.2
1960,80
1961,70.4
1962,65
1963,59
1964,43
1965,48
1966,40.4
1967,80.9
1968,72
1969,65
1970,94.6
1971,90.2
1972,75.2
1973,76
1974,97.4
1975,116
1976,82
1977,61
1978,75.3
1979,75.6
1980,70
1981,58
1982,89.4
1983,118
1984,96
1985,72.8
1986,80
1987,81
1988,100.8
1989,82
1990,73.4
1991,62.6
1992,58.6
1993,74.4
1994,66.6
1995,76.3
1996,94.2
1997,98.5
1998,87.2
1999,67.2
2000,68.8
2001,57.5
2002,86.6
2003,121.3
2004,68.5
2005,163.6
2006,111
2007,70.7
2008,60.8
2009,119.8
2010,80.4
2011,65.8
2012,90.2
2013,103.2
2014,98.2
2015,97.8
2016,73.4
2017,133.1
