UF,PR
Cidade,BITURUNA
Nome Posto,COLONIA AUGUSTO LOUREIRO
Latitude,-26.190555555555555
Longitude,-51.297777777777775
Codigo,2651013
Qtd. Anos,62
Ano,Maxima
1955,48.2
1956,85
1957,109.6
1958,65.4
1959,71.8
1960,74.8
1961,78.8
1962,79.2
1963,67.2
1964,96.7
1965,74.2
1966,77.6
1967,94.4
1968,64.4
1969,83.6
1970,79.2
1971,88.8
1972,94.8
1973,93.8
1974,68
1975,66.4
1976,70
1977,67
1978,70.2
1979,103.8
1980,70.4
1981,76.2
1982,88.6
1983,164.4
1984,126.4
1985,51.6
1986,67.6
1987,164.4
1988,82
1989,77.8
1990,85.4
1991,71.3
1992,148.6
1993,113.2
1994,94.1
1995,87.7
1996,81.3
1997,100.8
1998,82.3
1999,101.8
2000,131.2
2001,101.2
2002,95.9
2003,87.5
2004,60.3
2005,118.1
2006,56.2
2007,110.5
2008,85.5
2009,61.4
2010,96.5
2011,93.6
2012,125
2013,81.1
2014,162.2
2015,61
2017,106.3
