UF,PR
Cidade,PINHALAO
Nome Posto,RIBEIRAO DO CAFE
Latitude,-23.95
Longitude,-50.016666666666666
Codigo,2350043
Qtd. Anos,42
Ano,Maxima
1975,41.4
1976,81
1977,65
1978,98
1979,175
1980,96
1981,106.5
1982,84
1983,79
1984,67.2
1985,91.2
1986,92
1987,77.7
1988,65
1989,77.2
1990,98
1991,90
1992,76.1
1993,82
1994,58.6
1995,80.5
1996,93.5
1997,106.2
1998,90.2
1999,57.7
2000,114.5
2001,48.2
2002,73
2003,62.6
2004,90.5
2005,110.8
2006,56.6
2007,71
2008,57.5
2009,89.6
2010,187.8
2011,77.7
2012,80.2
2013,65.6
2014,102.2
2015,105
2017,69.4
