UF,PR
Cidade,CERRO AZUL
Nome Posto,COSTAS
Latitude,-24.95
Longitude,-49.3
Codigo,2449020
Qtd. Anos,43
Ano,Maxima
1974,44.3
1975,71.4
1976,80.3
1977,54.1
1978,67.2
1979,48.8
1980,125
1981,63.1
1982,80.4
1983,115.4
1984,77.4
1985,53.2
1986,58.8
1987,81
1988,86.4
1989,79
1990,68.2
1991,70.4
1992,70
1993,65.2
1994,74
1995,67
1996,64.8
1997,57.6
1998,95.2
1999,63.7
2000,64.1
2001,63.7
2002,74.8
2003,95.7
2004,170
2005,82.3
2006,74.1
2007,78.1
2008,64.3
2009,61.3
2010,70
2011,154.2
2012,82.8
2013,74.3
2014,84.6
2015,104
2017,53.7
