UF,PR
Cidade,JAGUARIAIVA
Nome Posto,EDUARDO XAVIER DA SILVA
Latitude,-24.383055555555558
Longitude,-49.58305555555556
Codigo,2449036
Qtd. Anos,42
Ano,Maxima
1975,39.1
1976,55.8
1977,52.4
1978,68.8
1979,83
1980,67.2
1981,64.6
1982,93
1983,88.4
1984,112.2
1985,60
1986,56.2
1987,65.8
1988,45.2
1989,59
1990,68.3
1991,59.2
1992,77.2
1993,67
1994,89.2
1995,77.2
1996,63.7
1997,87.5
1998,92
1999,46.6
2000,92.8
2001,86
2002,74.8
2003,96.9
2004,80
2005,160.8
2006,67
2007,94.5
2008,75.7
2009,86.5
2010,65.2
2011,49.8
2012,91.4
2013,60.3
2014,65
2015,78.5
2017,94.8
