UF,PR
Cidade,FLOR DA SERRA DO SUL
Nome Posto,RINCAO DO CAPETINGA
Latitude,-26.31861111111111
Longitude,-53.183055555555555
Codigo,2653023
Qtd. Anos,41
Ano,Maxima
1976,129.5
1977,89.8
1978,97
1979,155.1
1980,84.8
1981,108.8
1982,121.8
1983,161
1984,91
1985,78.4
1986,104.6
1987,121.6
1988,73.8
1989,84.6
1990,118.8
1991,144.9
1992,92.7
1993,87.7
1994,163.5
1995,100.5
1996,89
1997,158.7
1998,139.8
1999,88.2
2000,109.1
2001,120.4
2002,106.2
2003,111
2004,70.2
2005,102.5
2006,86.1
2007,123.8
2008,84.8
2009,107.3
2010,148.6
2011,116.8
2012,108.4
2013,164
2014,134.6
2015,106.9
2017,95.1
