UF,PR
Cidade,SANTO INACIO
Nome Posto,SANTO INACIO
Latitude,-22.69638888888889
Longitude,-51.78972222222222
Codigo,2251041
Qtd. Anos,44
Ano,Maxima
1975,72.6
1976,68.7
1977,60.2
1978,57.3
1979,66.3
1980,70.2
1981,108.2
1982,77.7
1983,119
1984,70
1985,61.2
1986,64.6
1987,105
1988,68
1989,80.2
1990,96.2
1991,63.7
1992,80.4
1993,84.1
1994,144.5
1995,92.6
1996,65.2
1997,51.4
1998,72.5
1999,96.5
2000,78.3
2001,78.6
2002,75.7
2003,70.2
2004,73.6
2005,98.4
2006,123.5
2007,81.1
2008,61.3
2009,89.3
2010,70.5
2011,115.5
2012,120.1
2013,100
2014,70.3
2015,51.4
2016,125
2017,100.4
2018,71
