UF,PR
Cidade,TIBAGI
Nome Posto,FAZENDA SAO CARLOS (SABAO)
Latitude,-24.68305555555556
Longitude,-50.3
Codigo,2450025
Qtd. Anos,41
Ano,Maxima
1976,92.9
1977,65.6
1978,147.2
1979,74.8
1980,82.4
1981,85.3
1982,102.4
1983,153
1984,84.6
1985,70
1986,77.6
1987,118
1988,90
1989,104
1990,84.5
1991,300.4
1992,50
1993,50
1994,50.3
1995,37.8
1996,91
1997,77.3
1998,71.1
1999,67.8
2000,83.5
2001,86.5
2002,87.8
2003,96.4
2004,68.2
2005,130
2006,77.8
2007,99.1
2008,87
2009,70.7
2010,64.6
2011,109.2
2012,93.1
2013,48
2014,89.1
2015,94.5
2017,74.8
