UF,PR
Cidade,PONTA GROSSA
Nome Posto,SANTA CRUZ
Latitude,-25.133333333333333
Longitude,-50.15
Codigo,2550003
Qtd. Anos,74
Ano,Maxima
1945,39.6
1946,80.3
1947,70.2
1948,59
1949,50.3
1950,50
1951,73.8
1952,77.6
1953,89.8
1954,96.6
1955,112.9
1956,42.9
1957,91.2
1958,61.6
1959,51.9
1960,63.7
1961,55.5
1962,114.2
1963,67.1
1964,69.6
1965,112.6
1966,160.2
1967,44.7
1968,47.4
1969,79.9
1970,105.2
1971,72.4
1972,67.4
1973,108.8
1974,91.8
1975,55.6
1976,109.2
1977,58.2
1978,91.4
1979,70.8
1980,82.2
1981,83
1982,92.5
1983,144.9
1984,75.8
1985,52.2
1986,76.9
1987,92.5
1988,91.4
1989,92.4
1990,63.9
1991,70.7
1992,91.6
1993,110.4
1994,68.7
1995,94.2
1996,135.2
1997,74.5
1998,204.2
1999,60.7
2000,83.2
2001,70.5
2002,59.6
2003,70.8
2004,61.3
2005,70.5
2006,61.2
2007,88.2
2008,101.2
2009,83.8
2010,79.2
2011,155.5
2012,102.4
2013,120.2
2014,70.9
2015,98.4
2016,85.2
2017,125.5
2018,75.2
