UF,PR
Cidade,RESERVA DO IGUACU
Nome Posto,PEDRO LUSTOSA
Latitude,-25.8
Longitude,-51.85
Codigo,2551037
Qtd. Anos,41
Ano,Maxima
1976,83.1
1977,84.4
1978,72.9
1979,104.4
1980,90.5
1981,111.4
1982,114.5
1983,115.6
1984,81.3
1985,87.8
1986,77.6
1987,91.9
1988,73.6
1989,116.6
1990,108
1991,112.2
1992,208.2
1993,115.6
1994,163.3
1995,167.7
1996,94.8
1997,120.3
1998,106.6
1999,70.6
2000,102.4
2001,93.8
2002,65.9
2003,95.3
2004,165.8
2005,147.1
2006,71.2
2007,121.7
2008,70.9
2009,96.5
2010,92
2011,111.1
2012,115.6
2013,87.9
2014,241
2015,72.8
2017,107.8
