UF,PR
Cidade,BITURUNA
Nome Posto,USINA BITURUNA
Latitude,-26.166666666666668
Longitude,-51.55
Codigo,2651015
Qtd. Anos,52
Ano,Maxima
1956,75
1957,119
1958,82
1959,110
1960,58
1961,81.2
1962,100.4
1963,74.6
1964,69.2
1965,74.8
1966,70
1967,109
1968,87.6
1969,83.4
1970,87.6
1971,68.8
1972,85.2
1973,84.6
1974,72.8
1975,73.2
1976,72.6
1977,74.8
1978,66.4
1979,69.2
1980,98.8
1981,76.6
1982,93
1983,157.7
1984,128.2
1985,42.8
1986,66.6
1987,98.4
1988,95.8
1989,90.4
1990,82.6
1991,93.6
1992,151.4
1993,123.8
1994,80.5
1995,96.7
1996,96.8
1997,107
1998,91.4
1999,87.3
2000,92
2001,122.9
2002,99.8
2003,101.2
2004,82.4
2005,120.4
2006,61.6
2007,158.4
