UF,PR
Cidade,ENGENHEIRO BELTRAO
Nome Posto,ENGENHEIRO BELTRAO
Latitude,-23.783055555555556
Longitude,-52.25
Codigo,2352034
Qtd. Anos,42
Ano,Maxima
1975,75
1976,146
1977,175.3
1978,72.1
1979,104.3
1980,81
1981,154
1982,80.5
1983,110.9
1984,84.3
1985,75
1986,64.1
1987,134
1988,79.1
1989,90
1990,80
1991,105
1992,82.2
1993,82.1
1994,80.6
1995,80.5
1996,75.5
1997,107.8
1998,124.4
1999,158.8
2000,94.1
2001,81.6
2002,83.9
2003,65.1
2004,65.4
2005,56.1
2006,99.6
2007,195.5
2008,80.7
2009,110.7
2010,75.6
2011,102
2012,82.3
2013,87.4
2014,151.6
2015,126.3
2017,88.2
