UF,PR
Cidade,CHOPINZINHO
Nome Posto,UHE SALTO SANTIAGO CHOPINZINHO PLU
Latitude,-25.860000000000003
Longitude,-52.526944444444446
Codigo,2552030
Qtd. Anos,41
Ano,Maxima
1976,75
1977,84.4
1978,68
1979,71
1980,87
1981,102.7
1982,136.2
1983,133.4
1984,128.5
1985,48.1
1986,75.5
1987,123.9
1988,108.8
1989,87.3
1990,131.7
1991,134.3
1992,189.2
1993,100.5
1994,98
1995,107
1996,90
1997,155.2
1998,95.4
1999,81
2000,70.6
2001,70.6
2002,99.1
2003,100.9
2004,78.3
2005,85.4
2006,74
2007,126.2
2008,76.6
2009,79.9
2010,110.6
2011,109.3
2012,100.6
2013,127.7
2014,113.5
2015,88.5
2017,105
