UF,PR
Cidade,DIAMANTE DO NORTE
Nome Posto,DIAMANTE DO NORTE
Latitude,-22.654166666666665
Longitude,-52.86055555555556
Codigo,2252015
Qtd. Anos,44
Ano,Maxima
1975,105
1976,63.4
1977,89.2
1978,73.3
1979,79.8
1980,200.2
1981,69.3
1982,102.6
1983,101
1984,100.2
1985,74.2
1986,68.2
1987,108.4
1988,46.4
1989,77
1990,67
1991,89
1992,65
1993,73.8
1994,52.6
1995,121.4
1996,60.5
1997,73.6
1998,92
1999,66.8
2000,72.2
2001,117.1
2002,91
2003,66.5
2004,70.7
2005,82
2006,59.4
2007,73.6
2008,62.2
2009,76
2010,147.8
2011,114.4
2012,196.5
2013,104.5
2014,89.9
2015,87
2016,87.8
2017,100.2
2018,66.8
