UF,PR
Cidade,PONTA GROSSA
Nome Posto,UHE MAUA UVAIA MONTANTE
Latitude,-25.075555555555557
Longitude,-50.388888888888886
Codigo,2550016
Qtd. Anos,42
Ano,Maxima
1974,59.2
1975,56.3
1976,102
1977,64.4
1978,85
1979,69.2
1980,53.2
1981,62.8
1982,84.2
1983,141.2
1984,73.5
1985,70.8
1986,75.4
1987,58.7
1988,102
1989,66.7
1990,76.9
1991,66.2
1992,74.6
1993,88
1994,67
1995,89.1
1996,127.6
1997,71.1
1998,77.1
1999,52.2
2000,86.7
2001,52.9
2002,61.2
2003,80.5
2004,73.2
2005,66.2
2006,79.7
2007,91.7
2008,104.3
2009,67.4
2010,51.9
2011,173
2012,88.2
2013,123
2014,46.6
2017,78.5
