UF,PR
Cidade,SANTA MARIA DO OESTE
Nome Posto,SANTA MARIA DO OESTE
Latitude,-24.933333333333334
Longitude,-51.88333333333333
Codigo,2451010
Qtd. Anos,50
Ano,Maxima
1967,119.8
1968,57
1969,106
1970,85
1971,74.5
1972,66.2
1973,74.3
1974,110.7
1975,55
1976,78.8
1977,69.2
1978,108.8
1979,159
1980,96
1981,117.1
1982,95.4
1983,124.4
1984,125.4
1985,59
1986,83.4
1987,98.8
1988,119
1989,80.8
1990,153.4
1991,72.4
1992,113.4
1993,120.5
1994,75.7
1995,71.9
1996,87.1
1997,104
1998,95.3
1999,92.2
2000,108.8
2001,61.4
2002,141.9
2003,77.4
2004,66
2005,68.1
2006,87.5
2007,97.6
2008,124.4
2009,154.3
2010,62.8
2011,121.6
2012,94.8
2013,118.2
2014,115.7
2015,75.7
2017,89
