UF,PR
Cidade,LAPA
Nome Posto,PEDRA LISA
Latitude,-25.697222222222223
Longitude,-50.01305555555555
Codigo,2550028
Qtd. Anos,42
Ano,Maxima
1975,84.8
1976,66.8
1977,60.6
1978,76.4
1979,135.8
1980,63.8
1981,49.6
1982,81.4
1983,117
1984,65
1985,55.6
1986,70.8
1987,87.8
1988,47.2
1989,64.5
1990,71
1991,63.8
1992,129.3
1993,100.9
1994,79.8
1995,97.4
1996,54.1
1997,69.7
1998,90.2
1999,72.6
2000,61.8
2001,95.9
2002,75.5
2003,56.5
2004,65.7
2005,57.4
2006,49.6
2007,73.5
2008,93.1
2009,93.2
2010,86.5
2011,101
2012,72
2013,75.6
2014,228.5
2015,82
2017,55.1
