UF,PR
Cidade,INDIANOPOLIS
Nome Posto,INDIANOPOLIS
Latitude,-23.482777777777777
Longitude,-52.70138888888889
Codigo,2352044
Qtd. Anos,40
Ano,Maxima
1976,96.2
1977,65.4
1978,88.4
1979,95
1980,81.9
1981,99.4
1982,80.9
1983,89.6
1984,75.4
1985,65.5
1986,86.4
1987,87.6
1988,80.6
1989,80.8
1990,167.2
1991,106.3
1992,78
1993,102.6
1994,84.6
1995,90.2
1996,73.3
1997,76.6
1998,106.3
1999,134.3
2000,85.3
2001,65.1
2002,110.2
2003,68.5
2004,86.3
2005,78.2
2006,118.6
2007,82.6
2008,93.7
2009,98.2
2010,79.7
2011,90
2012,126
2013,110.9
2014,62.4
2015,102.2
