UF,PR
Cidade,LARANJEIRAS DO SUL
Nome Posto,LARANJEIRAS DO SUL
Latitude,-25.4
Longitude,-52.416666666666664
Codigo,2552007
Qtd. Anos,49
Ano,Maxima
1964,35.3
1965,100.8
1966,81.4
1967,108.4
1968,91.2
1969,103.8
1970,68.8
1971,70.4
1972,95.8
1973,75.4
1974,70.2
1975,66.6
1976,82.6
1977,93.6
1978,74.8
1979,82.6
1980,120.6
1981,83.2
1982,150
1983,130.4
1984,123.4
1985,59
1986,81.2
1987,96
1988,84.2
1989,109.2
1990,91.4
1991,75.9
1992,202.9
1993,135.8
1994,107.6
1995,114.9
1996,120.9
1997,153
1998,174.4
1999,91.5
2000,96.5
2001,88.1
2002,134.7
2003,102.5
2004,94.8
2005,107.2
2006,97.3
2007,105.3
2008,101.7
2009,118.2
2010,115.6
2011,124.6
2012,119.1
