UF,PR
Cidade,PATO BRAGADO
Nome Posto,GUAIRA PORTO
Latitude,-24.648055555555555
Longitude,-54.29833333333333
Codigo,2454004
Qtd. Anos,43
Ano,Maxima
1974,97.9
1975,73.1
1976,78.8
1977,89.8
1978,60.8
1979,95
1980,77.9
1981,53.8
1982,70.2
1983,106.1
1984,140.2
1985,84.3
1986,111.5
1987,167.3
1988,84
1989,124.9
1990,103.5
1991,150.3
1992,124
1993,90
1994,118.7
1995,113.9
1996,126.8
1997,197
1998,103
1999,138.6
2000,62.3
2001,184.9
2002,137.8
2003,123
2004,90.4
2005,93.9
2006,62.8
2007,88
2008,132
2009,146.3
2010,95.3
2011,102
2012,120.8
2013,103.6
2014,173.5
2015,115.6
2017,73.5
