UF,PR
Cidade,SAO JOSE DOS PINHAIS
Nome Posto,FAZENDINHA
Latitude,-25.519166666666667
Longitude,-49.14666666666667
Codigo,2549017
Qtd. Anos,54
Ano,Maxima
1964,56
1965,99.2
1966,70.2
1967,69
1968,44.4
1969,85
1970,91.4
1971,76.6
1972,87.4
1973,78.4
1974,79
1975,55.6
1976,75
1977,119
1978,58.6
1979,64
1980,69.8
1981,42.2
1982,100
1983,83.4
1984,62.6
1985,50.8
1986,58.6
1987,90
1988,65.6
1989,72.8
1990,69
1991,57.4
1992,66.2
1993,88.4
1994,58.2
1995,115
1996,58.2
1997,71.8
1998,73
1999,69.4
2000,50.4
2001,66.6
2002,73.6
2003,75.8
2004,82.2
2005,81.2
2006,70.8
2007,140.6
2008,66.2
2009,71.2
2010,63.6
2011,86.8
2012,94.8
2013,102
2014,98.8
2015,58.3
2016,70.2
2017,1999.8
