UF,PR
Cidade,BELA VISTA DA CAROBA
Nome Posto,TRES IRMAOS
Latitude,-25.95
Longitude,-53.61666666666667
Codigo,2553037
Qtd. Anos,41
Ano,Maxima
1976,75.3
1977,79
1978,71.3
1979,177
1980,109
1981,225.6
1982,148.5
1983,137.6
1984,101
1985,64.9
1986,89.2
1987,105.7
1988,103.3
1989,71.4
1990,184.2
1991,197.8
1992,125.4
1993,82.6
1994,74.9
1995,85.4
1996,130.9
1997,138.5
1998,152.7
1999,90.3
2000,84.8
2001,80.2
2002,108.4
2003,140.9
2004,83.8
2005,116.3
2006,90.1
2007,132
2008,155.5
2009,133
2010,135.2
2011,98.3
2012,152.7
2013,113.1
2014,205.2
2015,112.4
2017,89.1
