UF,PR
Cidade,QUITANDINHA
Nome Posto,QUITANDINHA
Latitude,-25.855
Longitude,-49.52583333333333
Codigo,2549061
Qtd. Anos,42
Ano,Maxima
1975,52.7
1976,58.5
1977,44.6
1978,68.6
1979,79.4
1980,106.6
1981,66.8
1982,106.2
1983,100.4
1984,70.8
1985,60
1986,59
1987,59.8
1988,59.2
1989,78
1990,72.8
1991,109
1992,115.6
1993,93.2
1994,77.2
1995,116.8
1996,71.2
1997,57.6
1998,75
1999,95.4
2000,51
2001,74.6
2002,54
2003,62
2004,75.8
2005,80
2006,55.9
2007,95.1
2008,82.8
2009,91.2
2010,65.9
2011,62.1
2012,121
2013,86.3
2014,134.7
2015,45.7
2017,56.2
