UF,PR
Cidade,SANTA MONICA
Nome Posto,APARECIDA DO IVAI
Latitude,-23.18305555555556
Longitude,-53.06666666666667
Codigo,2353041
Qtd. Anos,43
Ano,Maxima
1974,98.2
1975,74
1976,157.8
1977,70.8
1978,60.2
1979,92.4
1980,96
1981,110.6
1982,83.4
1983,70
1984,190
1985,78
1986,60
1987,66
1988,126.5
1989,85
1990,57
1991,83.5
1992,70.3
1993,66.5
1994,63.7
1995,110.6
1996,92.4
1997,87.3
1998,69.8
1999,61.6
2000,92.1
2001,58.1
2002,84.1
2003,87.7
2004,82.5
2005,56.5
2006,100.8
2007,58.9
2008,61.3
2009,102.5
2010,128.7
2011,65.7
2012,116.2
2013,72.6
2014,99
2015,180.6
2017,111
