UF,PR
Cidade,COLORADO
Nome Posto,ALTO ALEGRE
Latitude,-22.898055555555555
Longitude,-51.88805555555555
Codigo,2251033
Qtd. Anos,44
Ano,Maxima
1975,68
1976,70.5
1977,82
1978,69
1979,65
1980,103
1981,77
1982,72.1
1983,79
1984,76.8
1985,73.6
1986,63
1987,117
1988,67
1989,100
1990,66
1991,80
1992,111
1993,90.3
1994,56.5
1995,104.3
1996,154.2
1997,78.4
1998,68.4
1999,68.2
2000,77.4
2001,102
2002,101.3
2003,104.2
2004,82.4
2005,91.9
2006,58.9
2007,105
2008,78.8
2009,126.1
2010,81.4
2011,101.2
2012,194.6
2013,77.7
2014,77.1
2015,112.2
2016,89.8
2017,68.9
2018,96.5
