UF,PR
Cidade,SANTO ANTONIO DA PLATINA
Nome Posto,SANTO ANTONIO DA PLATINA
Latitude,-23.3
Longitude,-50.06666666666667
Codigo,2350012
Qtd. Anos,43
Ano,Maxima
1973,61
1974,79.2
1975,77.2
1976,128.2
1977,72.2
1978,69.5
1979,74
1980,181.6
1981,91.2
1982,82.6
1983,84.8
1984,72.2
1985,79.2
1986,74.4
1987,60.8
1988,54.2
1989,76.2
1990,76
1991,72.2
1992,131.4
1993,79.7
1994,67.8
1995,66.3
1996,91.2
1997,101.7
1998,103.8
1999,83
2000,71.4
2001,63.6
2002,87.9
2003,112.9
2004,92.9
2005,81.3
2006,76.9
2007,67.8
2008,70
2009,100
2010,77
2011,76
2012,179
2013,64
2014,104.7
2015,104
