UF,PR
Cidade,LEOPOLIS
Nome Posto,CAMPO ALEGRE
Latitude,-22.959722222222222
Longitude,-50.77111111111111
Codigo,2250030
Qtd. Anos,44
Ano,Maxima
1975,126.2
1976,80
1977,76
1978,71
1979,84
1980,85
1981,78
1982,69.4
1983,94.4
1984,59
1985,82
1986,70
1987,83.9
1988,56
1989,85
1990,78.5
1991,62.3
1992,98
1993,70
1994,137.5
1995,81
1996,106.3
1997,107
1998,58.1
1999,96.5
2000,75.3
2001,49.8
2002,99.1
2003,55.7
2004,47.4
2005,91.5
2006,54.8
2007,57.9
2008,46
2009,70
2010,62
2011,96.2
2012,226.1
2013,146.9
2014,120
2015,76
2016,108.7
2017,107
2018,90.3
