UF,PR
Cidade,PIRAI DO SUL
Nome Posto,PIRAI DO SUL
Latitude,-24.529166666666665
Longitude,-49.928888888888885
Codigo,2449011
Qtd. Anos,44
Ano,Maxima
1973,89
1974,98.2
1975,64.8
1976,94.3
1977,60
1978,86
1979,55.4
1980,59.2
1981,74
1982,86
1983,121.7
1984,80.3
1985,71.4
1986,66.2
1987,84
1988,83.8
1989,85
1990,56.8
1991,71.2
1992,150.8
1993,81.3
1994,64.7
1995,123.7
1996,71.7
1997,96.4
1998,93.3
1999,59.6
2000,85
2001,109
2002,75.3
2003,93
2004,100
2005,102.9
2006,83.2
2007,59.7
2008,88.2
2009,93.4
2010,73.1
2011,85.1
2012,95.1
2013,88.4
2014,66.3
2015,116
2017,78.5
