UF,PR
Cidade,CASTRO
Nome Posto,PINHEIRINHO
Latitude,-25
Longitude,-49.65
Codigo,2549056
Qtd. Anos,43
Ano,Maxima
1974,36.1
1975,85.3
1976,61.8
1977,64.7
1978,73
1979,55.4
1980,143.2
1981,63
1982,112.2
1983,127.2
1984,58.6
1985,52.2
1986,53
1987,64.6
1988,54.6
1989,78.8
1990,60.6
1991,59.8
1992,69.5
1993,95.3
1994,63.2
1995,81.5
1996,53.2
1997,99.6
1998,93.4
1999,77.4
2000,68.4
2001,71.4
2002,100.6
2003,71.2
2004,97.7
2005,101.6
2006,47.8
2007,65.3
2008,68.2
2009,54.2
2010,88.9
2011,181.9
2012,101.5
2013,91
2014,129.1
2015,86.1
2017,66.9
