UF,PR
Cidade,JATAIZINHO
Nome Posto,UHE CAPIVARA JATAIZINHO
Latitude,-23.258333333333333
Longitude,-50.98444444444444
Codigo,2350000
Qtd. Anos,63
Ano,Maxima
1938,60
1939,54.5
1940,40
1941,76.1
1942,84.4
1943,113
1944,41
1945,116
1946,92.5
1947,80.8
1948,78.8
1949,107.2
1950,76.8
1951,100.2
1952,74.1
1953,87.3
1954,85.4
1955,66.8
1956,80.1
1957,78.2
1958,84.2
1959,65.6
1960,89
1961,83
1962,96.6
1963,81.4
1964,93.6
1965,103
1966,52
1967,62
1968,67.4
1969,144
1970,83.4
1971,66.1
1972,69
1973,82
1974,80.4
1975,75.4
1976,93
1977,81
1978,74.4
1979,69
1980,100.8
1981,80.2
1982,80.1
1983,70.8
1984,93.2
1985,105.3
1986,49.8
1987,96.2
1988,52.9
1989,82.3
1990,56
1991,58.4
1992,78
1993,92
1994,70.3
1995,72.6
1996,78.7
1997,78.3
1998,65.6
1999,85.1
2012,184.5
