UF,PR
Cidade,CAMPO BONITO
Nome Posto,PONTE TOURINHO - BRAGANEY
Latitude,-24.883055555555558
Longitude,-53.06666666666667
Codigo,2453014
Qtd. Anos,51
Ano,Maxima
1966,55.2
1967,92.4
1968,91.2
1969,116.4
1970,154.8
1971,74.8
1972,78.6
1973,128.6
1974,113.4
1975,56.2
1976,84
1977,92.2
1978,75.6
1979,111.2
1980,74.2
1981,119
1982,118
1983,116
1984,145.4
1985,81.2
1986,133.6
1987,94.8
1988,69.7
1989,83.3
1990,85
1991,119.7
1992,103.8
1993,128.7
1994,168.4
1995,94.4
1996,99.1
1997,143.8
1998,107.2
1999,84.4
2000,114.1
2001,114.4
2002,77.8
2003,116.6
2004,92.4
2005,85
2006,64.2
2007,152.5
2008,85.8
2009,103.6
2010,71.4
2011,64
2012,110.5
2013,107
2014,164.2
2015,94.2
2017,124.6
