UF,PR
Cidade,GUARAPUAVA
Nome Posto,CAMPO DE DENTRO
Latitude,-25.266666666666666
Longitude,-51.25
Codigo,2551035
Qtd. Anos,43
Ano,Maxima
1975,75.4
1976,124.8
1977,53.7
1978,100
1979,76
1980,74.3
1981,93.2
1982,84.5
1983,136
1984,110.3
1985,72.8
1986,65.9
1987,185.1
1988,71.3
1989,90.5
1990,76.1
1991,108.2
1992,182.5
1993,136.6
1994,73.1
1995,103.1
1996,96.5
1997,96.6
1998,104.8
1999,90
2000,77.8
2001,77.4
2002,71.8
2003,93
2004,77.8
2005,93
2006,50.8
2007,109.3
2008,91.8
2009,53.7
2010,132.7
2011,112.6
2012,123.6
2013,119
2014,190.9
2015,94.4
2016,89.7
2017,116.5
