UF,PR
Cidade,IVAIPORA
Nome Posto,ALTO PORA
Latitude,-24.353055555555557
Longitude,-51.69138888888889
Codigo,2451045
Qtd. Anos,42
Ano,Maxima
1975,48
1976,92
1977,69.5
1978,100.2
1979,88.1
1980,225.8
1981,81.5
1982,119
1983,102.8
1984,100.8
1985,83.1
1986,96.2
1987,89.3
1988,99.9
1989,107.1
1990,79.1
1991,61.9
1992,121.3
1993,68
1994,128.1
1995,61.7
1996,64.4
1997,130.1
1998,90.2
1999,72.9
2000,96.8
2001,62.1
2002,93.9
2003,84.7
2004,88.3
2005,113.4
2006,68.7
2007,150.7
2008,69.1
2009,117.8
2010,70.9
2011,68.4
2012,116.5
2013,155.3
2014,200.4
2015,106.1
2017,98.7
