UF,PR
Cidade,PALMAS
Nome Posto,USINA CHOPIM
Latitude,-26.383333333333333
Longitude,-52
Codigo,2652023
Qtd. Anos,42
Ano,Maxima
1976,48
1977,53.7
1978,61.4
1979,61.2
1980,80.8
1981,79.2
1982,79.4
1983,131.2
1984,105
1985,57.2
1986,111.2
1987,171
1988,71.9
1989,110.5
1990,113.9
1991,94.8
1992,74.2
1993,54.5
1994,85
1995,79.9
1996,88.1
1997,99
1998,68.6
1999,77.8
2000,70.4
2001,90.3
2002,73.2
2003,81.1
2004,68.9
2005,88
2006,97.6
2007,118.1
2008,79.1
2009,70.5
2010,106.3
2011,115.7
2012,90.4
2013,94.2
2014,111.3
2015,83.4
2016,78.2
2017,80.9
