UF,PR
Cidade,UMUARAMA
Nome Posto,UMUARAMA
Latitude,-23.733055555555556
Longitude,-53.283055555555556
Codigo,2353008
Qtd. Anos,47
Ano,Maxima
1971,32.7
1972,91.2
1973,44.6
1974,90
1975,88.2
1976,86
1977,81.4
1978,124.2
1979,123.4
1980,118.5
1981,135.3
1982,158
1983,77.9
1984,97.8
1985,92.1
1986,110.2
1987,96.5
1988,108.1
1989,79.1
1990,106.5
1991,98.9
1992,149.7
1993,78.9
1994,71.3
1995,84.8
1996,133.5
1997,66.8
1998,183.8
1999,123.8
2000,104.5
2001,50.7
2002,89.5
2003,74.6
2004,73.1
2005,52.9
2006,119.4
2007,61.4
2008,84.3
2009,101.9
2010,126.8
2011,125.6
2012,69
2013,106.3
2014,96
2015,140.9
2016,111.4
2017,72.1
