UF,PR
Cidade,UBIRATA
Nome Posto,UBIRATA
Latitude,-24.533333333333335
Longitude,-52.983333333333334
Codigo,2452009
Qtd. Anos,52
Ano,Maxima
1965,93.7
1966,49
1967,99.5
1968,64.8
1969,76.2
1970,96.8
1971,93
1972,98.8
1973,76.2
1974,64.6
1975,51.6
1976,81.4
1977,91
1978,78
1979,78
1980,93.8
1981,139.5
1982,104
1983,159.8
1984,75
1985,81
1986,98
1987,120
1988,90
1989,81.5
1990,100.2
1991,91
1992,85.5
1993,100
1994,100.8
1995,106
1996,76.8
1997,105.3
1998,109.5
1999,97.7
2000,66
2001,83.7
2002,74.3
2003,77.2
2004,71.4
2005,65.7
2006,105.5
2007,100
2008,105.2
2009,133.5
2010,97.8
2011,85.7
2012,118.9
2013,123.4
2014,92.3
2015,78.5
2017,111.5
