UF,PR
Cidade,RESERVA
Nome Posto,JOSE LACERDA
Latitude,-24.491944444444446
Longitude,-50.81861111111112
Codigo,2450040
Qtd. Anos,42
Ano,Maxima
1975,51
1976,42.8
1977,50.4
1978,69.4
1979,48.2
1980,62.2
1981,73.5
1982,44.2
1983,48.8
1984,49.4
1985,44.6
1986,49
1987,49.4
1988,47.6
1989,48.4
1990,45.6
1991,65
1992,56.9
1993,70.2
1994,70.7
1995,61.1
1996,75.6
1997,111.2
1998,85.5
1999,58
2000,89.5
2001,72
2002,79.5
2003,88.8
2004,70.3
2005,160.6
2006,58
2007,98.7
2008,83.5
2009,89.1
2010,77.7
2011,116.8
2012,121.3
2013,155.8
2014,121.1
2015,85.7
2017,114
